study,treatment,responders,sampleSize
1,A,9,140
1,C,23,140
1,D,10,138
2,B,11,78
2,C,12,85
2,D,29,170
3,A,79,702
3,B,77,694
4,A,18,671
4,B,21,535
5,A,8,116
5,B,19,146
6,A,75,731
6,C,363,714
7,A,2,106
7,C,9,205
8,A,58,549
8,C,237,1561
9,A,0,33
9,C,9,48
10,A,3,100
10,C,31,98
11,A,1,31
11,C,26,95
12,A,6,39
12,C,17,77
13,A,95,1107
13,C,134,1031
14,A,15,187
14,C,35,504
15,A,78,584
15,C,73,675
16,A,69,1177
16,C,54,888
17,A,64,642
17,C,107,761
18,A,5,62
18,C,8,90
19,A,20,234
19,C,34,237
20,A,0,20
20,D,9,20
21,B,20,49
21,C,16,43
22,B,7,66
22,D,32,127
23,C,12,76
23,D,20,74
24,C,9,55
24,D,3,26
